instancia,metodo,menor_norma_costo,menor_norma_qos,menor_costo_costo,menor_costo_qos,menor_qos_costo,menor_qos_qos
AMPL1,CPLEX,0.41,3876.24,0.13,7380.25,0.98,3036.11
AMPL1,AE,0.43,3922.67,0.15,7864.66,1.02,3036.11
AMPL1,Greedy QoS,1.07,3036.11,1.07,3036.11,1.07,3036.11
AMPL1,Greedy costo,0.51,5812.83,0.19,7380.25,0.67,5394.0
AMPL1,Round robin,1.64,10642.48,1.64,10642.48,1.64,10642.48
AMPL2,CPLEX,0.59,24504.13,0.22,45745.74,1.38,18048.38
AMPL2,AE,0.61,29993.89,0.22,45745.74,2.0,17789.23
AMPL2,Greedy QoS,2.35,17232.7,2.35,17232.7,2.35,17232.7
AMPL2,Greedy costo,1.11,35634.35,0.44,45745.74,1.37,34226.5
AMPL2,Round robin,2.62,67629.22,2.62,67629.22,2.62,67629.22
AMPL3,CPLEX,0.59,20047.25,0.22,37782.11,1.5,13649.3
AMPL3,AE,0.77,20372.47,0.22,37782.11,1.83,13970.86
AMPL3,Greedy QoS,2.2,13474.58,2.2,13474.58,2.2,13474.58
AMPL3,Greedy costo,0.95,29172.8,0.44,37782.11,1.08,28609.66
AMPL3,Round robin,2.64,56029.4,2.64,56029.4,2.64,56029.4
AMPL4,CPLEX,0.52,59557.83,0.34,83139.64,0.52,59557.83
AMPL4,AE,1.04,51339.93,0.34,83139.64,2.77,32958.34
AMPL4,Greedy QoS,2.98,31802.58,2.98,31802.58,2.98,31802.58
AMPL4,Greedy costo,1.39,63223.03,0.45,83139.64,1.71,60829.69
AMPL4,Round robin,3.54,121857.86,3.54,121857.86,3.54,121857.86
CH1,AE,2.5,585984.97,0.93,1232226.27,4.2,466690.31
CH1,Greedy QoS,8.24,459401.65,8.24,459401.65,8.24,459401.65
CH1,Greedy costo,5.29,953486.6,3.7,1232226.27,5.77,906182.84
CH1,Round robin,11.58,1852399.54,11.58,1852399.54,11.58,1852399.54
CH2,AE,2.17,454303.2,0.77,984215.24,3.86,350421.55
CH2,Greedy QoS,5.46,345948.19,5.46,345948.19,5.46,345948.19
CH2,Greedy costo,2.92,772895.58,1.47,984215.24,3.26,745020.15
CH2,Round robin,7.88,1458439.78,7.88,1458439.78,7.88,1458439.78
M1,AE,3.42,924831.27,1.32,1911590.96,5.31,739137.93
M1,Greedy QoS,10.58,724694.41,10.58,724694.41,10.58,724694.41
M1,Greedy costo,6.98,1485437.59,4.86,1911590.96,7.34,1427574.96
M1,Round robin,15.62,2891293.65,15.62,2891293.65,15.62,2891293.65
M2,AE,2.96,984155.87,1.26,1820476.88,5.47,682330.05
M2,Greedy QoS,8.04,681630.47,8.04,681630.47,8.04,681630.47
M2,Greedy costo,4.73,1418478.22,3.0,1820476.88,5.23,1364557.57
M2,Round robin,10.9,2734637.54,10.9,2734637.54,10.9,2734637.54
G1,AE,4.11,1857605.5,1.79,4026547.82,6.34,1510223.57
G1,Greedy QoS,26.89,1491477.7,26.89,1491477.7,26.89,1491477.7
G1,Greedy costo,20.52,3150290.7,18.62,4026547.82,20.96,3041886.26
G1,Round robin,29.75,6135782.68,29.75,6135782.68,29.75,6135782.68
G2,AE,3.45,1617467.97,1.57,3396253.84,5.67,1288672.94
G2,Greedy QoS,16.33,1270953.36,16.33,1270953.36,16.33,1270953.36
G2,Greedy costo,11.77,2634308.2,9.79,3396253.84,12.34,2554905.47
G2,Round robin,20.13,5097385.12,20.13,5097385.12,20.13,5097385.12
