tiempo,instancia
130064.0,AMPL1
128482.0,AMPL1
130956.0,AMPL1
128898.0,AMPL1
130281.0,AMPL1
108229.0,AMPL1
108940.0,AMPL1
110536.0,AMPL1
110182.0,AMPL1
110546.0,AMPL1
171962.0,AMPL2
170289.0,AMPL2
171844.0,AMPL2
170341.0,AMPL2
170536.0,AMPL2
146530.0,AMPL2
146161.0,AMPL2
144090.0,AMPL2
147351.0,AMPL2
144806.0,AMPL2
169519.0,AMPL3
168420.0,AMPL3
171855.0,AMPL3
170674.0,AMPL3
173617.0,AMPL3
142033.0,AMPL3
144330.0,AMPL3
140799.0,AMPL3
142930.0,AMPL3
142425.0,AMPL3
246807.0,AMPL4
240701.0,AMPL4
243603.0,AMPL4
243842.0,AMPL4
246027.0,AMPL4
214090.0,AMPL4
212094.0,AMPL4
210180.0,AMPL4
210515.0,AMPL4
211899.0,AMPL4
4170635.0,CH1
4153440.0,CH1
3915423.0,CH1
4173005.0,CH1
4194896.0,CH1
3927741.0,CH1
4179591.0,CH1
4126447.0,CH1
3881537.0,CH1
4176907.0,CH1
3741542.0,CH2
3622369.0,CH2
3770843.0,CH2
3438027.0,CH2
3426889.0,CH2
3387877.0,CH2
3739117.0,CH2
3566137.0,CH2
3712617.0,CH2
3798555.0,CH2
8882417.0,M1
8327365.0,M1
8317426.0,M1
8389196.0,M1
8275395.0,M1
8146406.0,M1
8111286.0,M1
8085960.0,M1
8088551.0,M1
8198230.0,M1
8444657.0,M2
7904456.0,M2
7854710.0,M2
8485451.0,M2
7817329.0,M2
8258468.0,M2
7740126.0,M2
7786011.0,M2
7751997.0,M2
7816044.0,M2
26432021.0,G1
25038365.0,G1
25230020.0,G1
25206241.0,G1
25203563.0,G1
24900876.0,G1
24810195.0,G1
24834212.0,G1
24695482.0,G1
24682197.0,G1
19980474.0,G2
18763187.0,G2
18698718.0,G2
19985839.0,G2
18794032.0,G2
18585559.0,G2
18529134.0,G2
18541749.0,G2
18601881.0,G2
18808344.0,G2
